TF	rho_REF_LPS	rho_Carrier_LPS	delta_rho	z_stat	pval_fisher	motif_loss_tf	pval_fdr	sig_fdr05	sig_fdr10
CEBPB	0.0843	0.163	0.0787	0.6268	0.5308027865926379	False	0.8442624356881215	False	False
FOS	-0.012	-0.0545	-0.0425	-0.3335	0.7387296312271063	False	0.8442624356881215	False	False
FOSL2	-0.1356	0.0209	0.1565	1.2333	0.21747687669557725	False	0.8442624356881215	False	False
GATA2	-0.0874	-0.211	-0.1236	-0.9923	0.32107525975234563	False	0.8442624356881215	False	False
GATA3	-0.1909	-0.2132	-0.0223	-0.1822	0.8553967896648229	False	0.8553967896648229	False	False
JUN	-0.1354	-0.0357	0.0997	0.7879	0.4307599062269971	False	0.8442624356881215	False	False
JUND	-0.2134	-0.0546	0.1588	1.2704	0.20395529020288272	False	0.8442624356881215	False	False
MAX	0.0265	0.002	-0.0245	-0.1921	0.8476789623157097	False	0.8553967896648229	False	False
MEF2A	0.3806	0.432	0.0514	0.4828	0.6292662627605523	False	0.8442624356881215	False	False
MYC	-0.1053	-0.1835	-0.0782	-0.6263	0.5310907722842906	False	0.8442624356881215	False	False
NFIC	0.2018	0.1502	-0.0516	-0.4175	0.6763277153295539	False	0.8442624356881215	False	False
PBX3	0.0789	-0.0925	-0.1714	-1.3468	0.1780422061163045	False	0.8442624356881215	False	False
TCF12	0.0539	-0.1106	-0.1645	-1.2933	0.19589722232701967	False	0.8442624356881215	False	False
SPI1	0.1444	0.2072	0.0628	0.5081	0.6113681706183298	True	0.8442624356881215	False	False
SPIB	-0.1024	0.0005	0.1029	0.8094	0.4183092390831873	True	0.8442624356881215	False	False
ETV6	0.3586	0.3172	-0.0414	-0.3664	0.7140593211517252	True	0.8442624356881215	False	False
