stimulation	age_group	baseline	n	median_baseline	median_stim	delta_median	Wilcoxon_pval
pbmc_24h_mcp1_cpg	young	pbmc_24h_mcp1_rpmi	8	4.996705354797305	10.76887659151695	5.58093198558496	0.0078125
pbmc_24h_mcp1_cpg	old	pbmc_24h_mcp1_rpmi	119	5.16551001804135	10.8753116393777	5.63672155527273	2.8809188185621934e-21
pbmc_24h_mcp1_polyic	young	pbmc_24h_mcp1_rpmi	8	4.996705354797305	10.168673925853351	5.075085119780351	0.0078125
pbmc_24h_mcp1_polyic	old	pbmc_24h_mcp1_rpmi	125	5.16551001804135	10.0833862472298	4.99379528190353	2.9302892494914275e-21
pbmc_7d_mcp1_varilrix	old	pbmc_7d_mcp1_rpmi	147	9.99357530325252	9.78178590137573	-0.07653336173383884	0.0032281530482225996
pbmc_24h_mcp1_lps	young	pbmc_24h_mcp1_rpmi	91	6.73186206106475	13.0272079723736	5.73855708475751	2.909168619122272e-16
pbmc_24h_mcp1_lps	old	pbmc_24h_mcp1_rpmi	507	7.05463144878297	12.669591536834	5.27342237856721	3.7633675526425046e-84
pbmc_24h_mcp1_pam3cys	young	pbmc_24h_mcp1_rpmi	88	6.564999533229565	13.2633159157865	6.3470434181576705	3.845743819964219e-15
pbmc_24h_mcp1_pam3cys	old	pbmc_24h_mcp1_rpmi	390	6.91455310397528	13.0266198055144	5.810589620992955	2.1106350170460995e-65
pbmc_7d_mcp1_cov-N	old	pbmc_7d_mcp1_rpmi	50	9.988184640911275	7.591441249773635	-2.01934516821688	7.798730550234723e-08
pbmc_7d_mcp1_cov-ctrl	old	pbmc_7d_mcp1_rpmi	50	9.988184640911275	9.886244322255	-0.3693591369471996	0.2695104487517437
pbmc_7d_mcp1_vzv	old	pbmc_7d_mcp1_rpmi	50	9.988184640911275	9.715575721906816	0.04048581960535014	0.6806447467771797
pbmc_7d_mcp1_cmv	old	pbmc_7d_mcp1_rpmi	50	9.988184640911275	10.665201146441401	0.29397020639159077	0.00029800364072762875
pbmc_7d_mcp1_hsv	old	pbmc_7d_mcp1_rpmi	50	9.988184640911275	10.16577287369715	0.36553439540832544	0.03286210881230289
pbmc_7d_mcp1_flu	old	pbmc_7d_mcp1_rpmi	49	9.98279397857003	10.0036443971178	0.09637663321639955	0.8437079053249334
pbmc_7d_mcp1_vzv-pool	old	pbmc_7d_mcp1_rpmi	50	9.988184640911275	10.003626676337685	-0.00242317597895525	0.4963885938865378
pbmc_7d_mcp1_hsv-pool	old	pbmc_7d_mcp1_rpmi	50	9.988184640911275	9.596280113387255	-0.2940025556720305	0.025500083179634814
pbmc_7d_mcp1_cov-C	old	pbmc_7d_mcp1_rpmi	50	9.988184640911275	8.967673470380625	-0.863509630089911	0.000251529064962952
