stimulation	age_group	n_baseline	median_baseline	n_stim	median_stim	delta_median	MWU_pval
24h_LPS	young	2	-0.3232775648781185	10	8.22400391197354	8.547281476851659	
24h_LPS	old	97	0.459375820946511	261	8.27130491517891	7.811929094232398	6.31810170374439e-48
24h_polyIC	young	2	-0.3232775648781185	9	9.12596458850849	9.449242153386608	
24h_polyIC	old	97	0.459375820946511	145	10.2254958742535	9.76612005330699	1.1999490005053028e-39
24h_pam3cys	young	2	-0.3232775648781185	9	9.68721068662253	10.010488251500648	
24h_pam3cys	old	97	0.459375820946511	173	10.2414909725985	9.78211515165199	2.6982056073856483e-42
24h_CPG	young	2	-0.3232775648781185	9	9.79326427539957	10.116541840277689	
24h_CPG	old	97	0.459375820946511	145	10.0423485043685	9.582972683421989	1.1999490005053028e-39
24h_influenza	young	2	-0.3232775648781185	0			
24h_influenza	old	97	0.459375820946511	10	6.673803513214271	6.214427692267759	2.1549101843424292e-07
7d_influenza	young	2	-0.3232775648781185	0			
7d_influenza	old	97	0.459375820946511	39	5.65235072755055	5.1929749066040385	6.250554458150963e-19
