disease	celltype	n_lps	n_rpmi	log2FC	coef	SE	pval	converged	flag
CD	CD4 T cells	17	17	-0.8356196739153007	-0.5792074209948115	0.657049856109896	0.3780324554223138	True	
CD	Monocytes	17	17	0.46506461244531144	0.32235822489467125	0.3646904080661385	0.3767378021207206	True	
CD	B cells	17	17	-1.6723866385611426	-1.1592100833247803	1.3164201867001877	0.3785465056396661	True	
CD	CD8 T cells	17	17	-1.5980479641905423	-1.1076824407782349	1.2568561852412496	0.37814897178219764	True	
CD	NK cells	17	17	-1.1353038997495926	-0.7869326971901409	1.0081638541110374	0.4350611392380326	True	
UC	CD4 T cells	19	16	-1.5646155988672703	-1.0845088910149587	0.7177777312527379	0.1308073573040584	True	
UC	Monocytes	19	16	0.6511844127155905	0.4513666396983953	0.36450271377697724	0.21560186515719537	True	
UC	B cells	19	16	-0.16334485386503797	-0.11322202491552735	1.0716038109666002	0.9158548085354368	True	
UC	CD8 T cells	19	16	-1.285799117656009	-0.8912480331697281	1.2585696597836258	0.47885609450808075	True	
UC	NK cells	19	16	-1.2372914932813108	-0.8576251100987451	1.2599117095577657	0.4960597241847736	True	
