TF,condition,U,p,n_REF,n_Carrier,median_REF,median_Carrier,FDR,sig
CEBPB,LPS,8693.0,0.8390139360845817,136,126,10.604325094828912,10.584040872200086,0.8684526202158164,ns
CEBPB,NS,4262.0,0.28438854133802804,104,90,2.543665712740596,3.0942584777244777,0.7535471213366176,ns
FOS,LPS,9016.0,0.46525845477747385,136,126,-2.6155325830154785,-2.716028603751687,0.7536601451695338,ns
FOS,NS,4306.0,0.3382179367852032,104,90,5.7688663471702935,5.896094398581241,0.7535471213366176,ns
FOSL2,LPS,8677.0,0.8594717320097764,136,126,8.974079692671914,9.061421854131053,0.8684526202158164,ns
FOSL2,NS,4412.0,0.49277778722623367,104,90,-5.169115489572658,-4.969445098938381,0.7536601451695338,ns
GATA2,LPS,7575.0,0.1053336456480842,136,126,0.2104862381225891,0.31676492380554855,0.4828565056785423,ns
GATA2,NS,4451.0,0.5579444405132956,104,90,-0.37140729378125575,-0.36664791368705296,0.770790595982134,ns
GATA3,LPS,8352.0,0.7251039966242718,136,126,1.4225077311945267,1.4152910764949018,0.856941086919594,ns
GATA3,NS,5201.0,0.18200226014380372,104,90,1.5933782971989872,1.5501636796410176,0.5915073454673621,ns
JUND,LPS,9078.0,0.4057561422581787,136,126,3.890535379928495,3.8634088146250405,0.7535471213366176,ns
JUND,NS,4471.0,0.59291584306318,104,90,5.3133835709314,5.388985578595062,0.770790595982134,ns
MAX,LPS,9025.0,0.45633131484516976,136,126,0.8738340804056584,0.8375859110248758,0.7536601451695338,ns
MAX,NS,4834.0,0.6938839547068605,104,90,3.8161831304056557,3.695908590353066,0.856941086919594,ns
MEF2A,LPS,9604.0,0.09108646457079037,136,126,0.8521195532923955,0.761047892193178,0.4828565056785423,ns
MEF2A,NS,4074.0,0.12052730725651632,104,90,2.584469484395639,2.747985902817897,0.4828565056785423,ns
NFIC,LPS,9165.0,0.33038000718671967,136,126,7.637513068784863,7.5488090946728725,0.7535471213366176,ns
NFIC,NS,4089.0,0.12999982845191524,104,90,10.169747806244306,10.494889181669908,0.4828565056785423,ns
PBX3,LPS,8919.0,0.5673665734172224,136,126,-6.949181048102101,-7.140205277612878,0.770790595982134,ns
PBX3,NS,4584.0,0.8065557013574096,104,90,8.488524077397624,8.321634373736394,0.8684526202158164,ns
SPI1,LPS,9119.0,0.3690323070336837,136,126,8.037873475975232,7.894706198303416,0.7535471213366176,ns
SPI1,NS,4076.0,0.12175817069373397,104,90,9.8138383042638,10.193912966878663,0.4828565056785423,ns
SPIB,LPS,8466.0,0.8684526202158164,136,126,1.1325222501545085,1.2096101666032109,0.8684526202158164,ns
SPIB,NS,5479.0,0.04061530478739961,104,90,0.45756778211665305,0.1234031836613389,0.4828565056785423,ns
ETV6,LPS,9107.0,0.3795605533778673,136,126,1.9493619896735916,1.9338288714209684,0.7535471213366176,ns
ETV6,NS,4027.0,0.09431215383571596,104,90,2.0580367779770112,2.1049098799447252,0.4828565056785423,ns
