TF,median_LPS,median_NS,effect,U,p,FDR,sig
ZNF808,-5.8012479557608625,5.494319541461101,-11.295567497221963,23.0,6.301371728744853e-40,7.978814742964183e-39,***
ZNF786,-4.169337252294488,2.4228511631999536,-6.592188415494442,35.0,8.499108441503394e-40,7.978814742964183e-39,***
CEBPG,-1.2399789538524741,4.455615404845138,-5.695594358697612,4.0,3.919690133599643e-40,7.978814742964183e-39,***
CREB3L2,1.374261541004234,2.6966107742675716,-1.3223492332633375,0.0,3.5462942686633207e-40,7.978814742964183e-39,***
CREB5,-3.239804916931054,1.5318815464765052,-4.771686463407559,1.0,3.6361876906354198e-40,7.978814742964183e-39,***
CREM,6.164679967823284,-4.692259334385163,10.856939302208447,14120.0,6.460582128063515e-40,7.978814742964183e-39,***
ZNF317,-3.377705821202818,6.838909046987345,-10.216614868190163,6.0,4.120795813519953e-40,7.978814742964183e-39,***
FOXN3,-8.08940378767877,10.96196473132223,-19.051368519001,15.0,5.160454486046227e-40,7.978814742964183e-39,***
HES4,8.921801511905816,-5.122349987471431,14.044151499377246,14140.0,3.919690133599643e-40,7.978814742964183e-39,***
HEY1,9.338947499396298,-9.389231844860994,18.728179344257292,14112.0,7.88695437633916e-40,7.978814742964183e-39,***
SNAI3,0.716146829477905,5.162996488449991,-4.446849658972086,11.0,4.669580719969133e-40,7.978814742964183e-39,***
SNAPC2,1.8298187804923653,9.811858856245934,-7.982040075753568,10.0,4.554299316396011e-40,7.978814742964183e-39,***
HIVEP1,7.359405601943824,-9.568771260211538,16.92817686215536,14130.0,5.033125000754601e-40,7.978814742964183e-39,***
SNAI1,8.245598600365751,-9.565555216001847,17.8111538163676,14108.0,8.71348076854761e-40,7.978814742964183e-39,***
HIF1A,6.028060636241424,-9.882522408768892,15.910583045010316,14109.0,8.499108441503394e-40,7.978814742964183e-39,***
HIC2,2.030951950577565,4.772817267572998,-2.7418653169954332,12.0,4.787763439879018e-40,7.978814742964183e-39,***
STAT3,7.952041009110268,-8.842232117883025,16.794273126993293,14133.0,4.669580719969133e-40,7.978814742964183e-39,***
TET3,0.8105416620810054,6.578845490904039,-5.768303828823033,7.0,4.2251632617510754e-40,7.978814742964183e-39,***
THRA,-5.664385007147768,8.911987301617934,-14.576372308765702,27.0,6.9626118305762994e-40,7.978814742964183e-39,***
NFXL1,-7.962708776817123,8.401005111370191,-16.363713888187313,28.0,7.138429151238226e-40,7.978814742964183e-39,***
MAZ,-4.960284347125654,11.468554751114796,-16.428839098240452,22.0,6.1460632903548506e-40,7.978814742964183e-39,***
IRF7,10.250388203003997,-3.18373315281711,13.434121355821107,14112.0,7.88695437633916e-40,7.978814742964183e-39,***
IRF2,6.965616890278959,-3.9326013008974963,10.898218191176454,14120.0,6.460582128063515e-40,7.978814742964183e-39,***
HMG20B,1.650798972777788,9.102091884099384,-7.4512929113215955,2.0,3.7283467274775086e-40,7.978814742964183e-39,***
MITF,-1.1375566772503793,8.593447808195172,-9.731004485445553,1.0,3.6361876906354198e-40,7.978814742964183e-39,***
ZGLP1,-4.145553876026497,8.137867618021676,-12.283421494048174,1.0,3.6361876906354198e-40,7.978814742964183e-39,***
ZHX2,4.882304950375033,-5.245794681359061,10.128099631734095,14138.0,4.120795813519953e-40,7.978814742964183e-39,***
RELA,10.636171979993984,-6.903115465035411,17.539287445029395,14131.0,4.908920067770123e-40,7.978814742964183e-39,***
PPARG,-1.9206150769373371,6.320016410451611,-8.24063148738895,11.0,4.669580719969133e-40,7.978814742964183e-39,***
RARG,-3.6607924106914584,7.244655174060571,-10.905447584752029,10.0,4.554299316396011e-40,7.978814742964183e-39,***
PLSCR1,6.895607281412162,-8.98452517619181,15.88013245760397,14121.0,6.301371728744853e-40,7.978814742964183e-39,***
NKX3-1,8.297300441512743,-10.892448055822928,19.18974849733567,14126.0,5.561981447646399e-40,7.978814742964183e-39,***
SMAD1,-2.663591627630927,3.6988575291667467,-6.362449156797673,25.0,6.623791946404265e-40,7.978814742964183e-39,***
EBF1,3.015057479421204,-7.358091318470846,10.37314879789205,14121.0,6.301371728744853e-40,7.978814742964183e-39,***
