gene,p_value,slope,ctrl,condition,p_value_adj,age_group,dataset,comparison,cell_type
ADNP,1.5568385614713431e-10,0.15320079808192122,PBS,IL-10,9.21129482203878e-10,All age groups,parsebioscience,IL-10,CD4T
ADNP2,0.00028173067679988523,0.20060980592504463,PBS,IL-10,0.0005412935752865583,All age groups,parsebioscience,IL-10,CD4T
AEBP1,0.02973345977503501,0.10639094285275147,PBS,IL-10,0.03758591651087512,All age groups,parsebioscience,IL-10,CD4T
AEBP2,0.000517143696701505,0.3557062653291986,PBS,IL-10,0.0009295494295140976,All age groups,parsebioscience,IL-10,CD4T
AHCTF1,0.0005066847039952046,0.3421054716678396,PBS,IL-10,0.0009146088300930387,All age groups,parsebioscience,IL-10,CD4T
AHR,0.2148844477719365,-0.0888998296668821,PBS,IL-10,0.24559915152698256,All age groups,parsebioscience,IL-10,CD4T
AIRE,3.959505357615859e-09,-0.3282747009284933,PBS,IL-10,1.916760548118586e-08,All age groups,parsebioscience,IL-10,CD4T
AKAP8,0.007449798112834116,0.21461257571830217,PBS,IL-10,0.010211913319656731,All age groups,parsebioscience,IL-10,CD4T
AKAP8L,0.0004778684293285204,0.1634242747967642,PBS,IL-10,0.000869965602110896,All age groups,parsebioscience,IL-10,CD4T
AKNA,0.35024293861396916,0.08114465810535111,PBS,IL-10,0.38855076002487204,All age groups,parsebioscience,IL-10,CD4T
ANKZF1,0.7489902489878222,0.008948257301078883,PBS,IL-10,0.7839553957464674,All age groups,parsebioscience,IL-10,CD4T
ARHGAP35,0.812279413184025,-0.01744726097016607,PBS,IL-10,0.8381730372569848,All age groups,parsebioscience,IL-10,CD4T
ARID2,2.881004323623436e-05,0.38793650110066696,PBS,IL-10,7.135510708509208e-05,All age groups,parsebioscience,IL-10,CD4T
ARID3B,0.0003470894521866457,0.19126742891193302,PBS,IL-10,0.0006485092396118907,All age groups,parsebioscience,IL-10,CD4T
