gene,p_value,slope,p_value_adj,condition,comparison,dataset,cell_type,meta_p,meta_p_adj,neg_log10_adj_pval,trend
ADNP,8.020507212949979e-07,-0.15717985642959567,1.1324636430244988e-06,healthy,aging,onek1k,CD4T,7.88487911714333e-16,1.4113271024802802e-15,14.850372318394138,Inconsistent
ADNP2,1.6875718347245317e-09,0.1913271393942907,3.2162243486902513e-09,healthy,aging,onek1k,CD4T,6.01119912759896e-10,7.95270443589179e-10,9.099485157902647,Inconsistent
AEBP1,2.0649598558172298e-07,-0.16530338930949945,3.090168798318038e-07,healthy,aging,onek1k,CD4T,7.22841580383612e-33,5.30914678005894e-32,31.274975267710555,Decrease in aging
AEBP2,7.581356900403678e-11,0.20635595732105508,1.80004283948132e-10,healthy,aging,onek1k,CD4T,5.31818169131388e-18,1.07371819928896e-17,16.969109685631334,Inconsistent
AHCTF1,4.0731365903358647e-10,0.19835869760846436,8.444307565330451e-10,healthy,aging,onek1k,CD4T,1.4917408852396e-12,2.26957720397168e-12,11.644055039319637,Inconsistent
AHR,3.096453769988597e-14,0.23983602141655563,1.9072360177465997e-13,healthy,aging,onek1k,CD4T,2.42303539933511e-22,7.02185768786908e-22,21.15354797663647,Increase in aging
AIRE,8.77442840241598e-13,0.22613662541861004,3.3901200645698104e-12,healthy,aging,onek1k,CD4T,1.3249230427696901e-44,6.27130240244322e-43,42.20264225702309,Increase in aging
AKAP8,1.2634946515345168e-11,0.21453660071224245,3.5561935556435076e-11,healthy,aging,onek1k,CD4T,1.3378115874805e-11,1.9450775981798398e-11,10.711063067968572,Inconsistent
AKAP8L,9.976652398285504e-15,0.2442873232450446,7.851994943095074e-14,healthy,aging,onek1k,CD4T,1.2337220708164801e-23,4.1059812669360995e-23,22.38658303637917,Increase in aging
AKNA,1.9141404693712613e-09,0.19069108697117707,3.615598664367938e-09,healthy,aging,onek1k,CD4T,1.83868823768935e-14,3.01261995867563e-14,13.521055651021674,Inconsistent
ANKZF1,0.253769628027287,0.036564877356107715,0.2636970462386234,healthy,aging,onek1k,CD4T,6.67112430961315e-06,7.14044963792764e-06,5.146274439607242,Inconsistent
ARHGAP35,4.718235098038556e-14,0.23815755853090342,2.746917694063543e-13,healthy,aging,onek1k,CD4T,1.4453057881614e-28,7.3297650685328e-28,27.134909945014385,Increase in aging
ARID2,1.5758539162183484e-10,0.20291593178579068,3.5249363915410424e-10,healthy,aging,onek1k,CD4T,5.61225883416041e-12,8.3888500468503e-12,11.07629756867502,Inconsistent
ARID3B,7.139394781454336e-12,0.21707466490828664,2.1829084763439517e-11,healthy,aging,onek1k,CD4T,9.32606947131038e-21,2.33700329104601e-20,19.631340676019363,Increase in aging
ARID5A,2.208298427144777e-10,0.20130889092984822,4.82971513854792e-10,healthy,aging,onek1k,CD4T,2.67459884302781e-10,3.64018884067044e-10,9.438876086039452,Inconsistent
ARID5B,1.2526703964456506e-19,0.2844933620367868,4.0952686037646265e-18,healthy,aging,onek1k,CD4T,1.85049002406717e-30,1.06528209493596e-29,28.972535372458548,Increase in aging
ARNT,4.348439419288883e-11,0.20892984872831483,1.0621188236768823e-10,healthy,aging,onek1k,CD4T,1.8448313542560201e-19,4.1803093452822604e-19,18.378791578995756,Increase in aging
ASH1L,0.0062669187747633765,0.08744093745994864,0.007046138834059352,healthy,aging,onek1k,CD4T,4.41135658438074e-06,4.78177583955775e-06,5.320410786631981,Inconsistent
ATF1,0.447128012643788,0.02436139330580263,0.45680145522502374,healthy,aging,onek1k,CD4T,1.6402077543153e-09,2.1109622457351e-09,8.675519533919031,Increase in aging
ATF2,1.8013562847500155e-11,0.2129436131605912,4.845420386194662e-11,healthy,aging,onek1k,CD4T,5.65465130977704e-20,1.3382674766472301e-19,18.873457076386977,Increase in aging
ATF3,4.054276277391581e-12,0.21955992431374646,1.2858712073816581e-11,healthy,aging,onek1k,CD4T,4.50073606172225e-19,9.98600813694623e-19,18.00060808440254,Inconsistent
ATF4,2.2520561907345054e-14,0.2410965130820663,1.5192442556542299e-13,healthy,aging,onek1k,CD4T,7.996366730109661e-15,1.3411229240262701e-14,13.872531413960743,Increase in aging
ATF6,2.953076112204258e-05,0.13327816174813226,3.746439843841223e-05,healthy,aging,onek1k,CD4T,1.55604842639171e-08,1.92138153519672e-08,7.716386387258123,Inconsistent
ATF6B,0.002932363815587043,0.09512503506974847,0.0033233456576653156,healthy,aging,onek1k,CD4T,8.14144905778169e-10,1.06715609188154e-09,8.971772052098675,Increase in aging
ATF7,1.1322018681383253e-11,0.21502688480085905,3.207905293058588e-11,healthy,aging,onek1k,CD4T,2.88337168726341e-26,1.14795919511609e-25,24.940073548916157,Increase in aging
BACH1,1.3782010103574173e-16,0.26036459384510385,2.0919122478639367e-15,healthy,aging,onek1k,CD4T,1.7443925959517201e-15,3.0707076275844403e-15,14.512761532228842,Inconsistent
BACH2,1.509568635420726e-08,-0.17993708151170645,2.5765729721036486e-08,healthy,aging,onek1k,CD4T,1.5385071605443098e-28,7.6319610222882e-28,27.117363856313446,Decrease in aging
BATF,1.2331017313211904e-08,0.18101919885283724,2.1252550223095618e-08,healthy,aging,onek1k,CD4T,1.65685238866557e-30,9.66875503522651e-30,29.014629442787662,Increase in aging
BAZ2A,6.6131992163306e-19,0.2789756100098013,1.6532998040826502e-17,healthy,aging,onek1k,CD4T,2.63463798742977e-20,6.413461615114761e-20,19.192907500191577,Inconsistent
BAZ2B,1.2821164595835538e-12,0.22452610512719998,4.7382564810696555e-12,healthy,aging,onek1k,CD4T,5.4313999208126496e-18,1.09140394635198e-17,16.962014480206722,Increase in aging
BBX,8.657593731234161e-21,0.2931051003815214,3.6794773357745186e-19,healthy,aging,onek1k,CD4T,3.3494589473803202e-21,8.75380068456452e-21,20.057803346068717,Inconsistent
BCL11B,6.2692549286299e-05,-0.12775340566273796,7.768027243929176e-05,healthy,aging,onek1k,CD4T,1.7141612297367502e-14,2.819431211845e-14,13.549838496812663,Decrease in aging
BHLHE40,1.5486028879713804e-13,0.23335041825848013,7.479048038498144e-13,healthy,aging,onek1k,CD4T,2.33390994469418e-24,8.4258104783027e-24,23.074388313682114,Increase in aging
BPTF,4.892575359086703e-07,0.1601861015843101,7.024812593283274e-07,healthy,aging,onek1k,CD4T,1.43149925472552e-08,1.7778970335658e-08,7.7500933946869965,Inconsistent
CAMTA1,6.102150233899733e-09,0.1847322793803912,1.0672484976985129e-08,healthy,aging,onek1k,CD4T,3.8790880991942104e-31,2.4664052690399e-30,29.607935560486986,Increase in aging
CC2D1A,2.3100361790713583e-10,0.20109336604681147,5.009007020945547e-10,healthy,aging,onek1k,CD4T,1.65134138102274e-36,1.9012741305829302e-35,34.720955260927106,Increase in aging
CDC5L,7.541963268595945e-07,0.15755708791460535,1.0684447963844254e-06,healthy,aging,onek1k,CD4T,8.44251044401385e-25,3.15483285013149e-24,23.50102364567137,Increase in aging
CEBPB,6.60985364067334e-13,0.22733161461345328,2.601099812302009e-12,healthy,aging,onek1k,CD4T,1.9469713157323e-21,5.15161354349043e-21,20.288056723719805,Increase in aging
CEBPD,4.530209937643632e-06,0.14617477645606772,6.016685073432949e-06,healthy,aging,onek1k,CD4T,8.87298685595476e-10,1.15458872865897e-09,8.937572686491906,Increase in aging
CEBPG,6.900922673059758e-12,0.2172247260527762,2.1252841565582588e-11,healthy,aging,onek1k,CD4T,7.91482018758284e-39,1.46596234778708e-37,36.83387718410028,Increase in aging
CEBPZ,2.159115099520851e-07,0.16504272859568445,3.219733043145129e-07,healthy,aging,onek1k,CD4T,8.77741921418769e-08,1.04155448056935e-07,6.98231800848933,Inconsistent
CENPS,5.199776097719369e-05,0.12914678723276823,6.518893337848767e-05,healthy,aging,onek1k,CD4T,1.20616500240492e-06,1.3415830052859e-06,5.8723824518609025,Inconsistent
CENPX,0.001382571974704058,0.10223662675503034,0.00158808943040331,healthy,aging,onek1k,CD4T,3.66140065050558e-11,5.21657751543604e-11,10.282614334859884,Increase in aging
CGGBP1,0.008083315172842819,0.08473473067461947,0.00901682138702939,healthy,aging,onek1k,CD4T,1.38961585116027e-06,1.54160508488092e-06,5.812026865859036,Inconsistent
CHCHD3,1.3916400232716155e-07,0.1675928449364745,2.127507229821714e-07,healthy,aging,onek1k,CD4T,1.4337957789477e-23,4.6625725330665704e-23,22.331374399051235,Increase in aging
